iter	Passed	Remaining
0	0	836
1	1	753
2	2	734
3	2	679
4	3	667
5	3	651
6	4	632
7	4	618
8	5	603
9	5	588
10	6	581
11	7	578
12	7	578
13	8	574
14	8	577
15	9	578
16	10	578
17	10	574
18	11	574
19	11	571
20	12	567
21	12	566
22	13	563
23	13	560
24	14	558
25	14	560
26	15	558
27	16	559
28	16	559
29	17	557
30	17	555
31	18	552
32	18	551
33	19	548
34	19	546
35	20	544
36	20	543
37	21	543
38	21	541
39	22	539
40	22	536
41	23	534
42	23	532
43	24	532
44	24	530
45	25	529
46	26	528
47	26	529
48	27	529
49	27	530
50	28	530
51	29	529
52	29	530
53	30	527
54	30	528
55	31	527
56	31	526
57	32	524
58	32	524
59	33	524
60	34	523
61	34	523
62	35	522
63	35	521
64	36	521
65	36	520
66	37	518
67	37	517
68	38	516
69	38	516
70	39	516
71	40	515
72	40	514
73	41	514
74	41	512
75	42	511
76	42	511
77	43	510
78	43	509
79	44	508
80	44	507
81	45	506
82	45	502
83	46	503
84	46	503
85	47	503
86	48	504
87	48	504
88	49	504
89	49	505
90	50	505
91	51	505
92	51	506
93	52	506
94	53	505
95	53	505
96	54	505
97	54	504
98	55	503
99	55	501
100	56	500
101	56	500
102	57	501
103	58	499
104	58	499
105	59	498
106	59	497
107	60	497
108	60	496
109	61	495
110	61	494
111	62	494
112	62	493
113	64	497
114	64	499
115	65	498
116	65	497
117	66	497
118	67	496
119	67	495
120	68	495
121	68	493
122	69	493
123	69	493
124	70	493
125	71	493
126	71	492
127	72	492
128	72	492
129	73	491
130	73	490
131	74	489
132	75	489
133	75	489
134	76	489
135	76	488
136	77	488
137	78	488
138	78	488
139	79	487
140	80	487
141	80	486
142	81	486
143	81	486
144	82	486
145	83	486
146	83	486
147	84	486
148	85	485
149	85	485
150	86	486
151	87	486
152	87	486
153	88	486
154	89	486
155	90	487
156	90	486
157	91	486
158	91	485
159	92	484
160	92	482
161	93	481
162	93	480
163	94	481
164	95	482
165	95	481
166	96	480
167	96	479
168	97	478
169	97	477
170	98	476
171	98	475
172	99	475
173	100	474
174	100	474
175	101	473
176	101	472
177	102	471
178	102	471
179	103	469
180	103	468
181	104	467
182	104	466
183	105	465
184	105	465
185	106	465
186	106	464
187	107	463
188	107	462
189	108	462
190	108	461
191	109	460
192	109	459
193	110	458
194	110	457
195	111	456
196	111	456
197	112	455
198	113	454
199	113	453
200	113	453
201	114	452
202	114	451
203	115	450
204	115	449
205	116	449
206	117	448
207	117	447
208	117	446
209	118	446
210	120	449
211	120	449
212	121	448
213	121	447
214	122	446
215	122	445
216	123	445
217	123	444
218	124	444
219	125	444
220	125	443
221	126	442
222	126	441
223	127	441
224	127	440
225	128	439
226	128	438
227	129	437
228	129	436
229	130	436
230	130	435
231	131	435
232	132	435
233	132	434
234	133	434
235	133	433
236	134	432
237	134	431
238	135	430
239	135	429
240	136	429
241	136	428
242	137	428
243	138	428
244	138	427
245	139	426
